Osoba,OS,Przegladarka,Konfiguracja,Plik,Fingerprint_ID,Trust_Score,Trust_Grade,Lies_Count,Trash_Count,Errors_Count,Headless_Rating,Stealth_Rating,Like_Headless_Rating,Engine,Trust_Note,Canvas2D_Hash,WebGL_Hash,Audio_Hash,Fonts_Hash,Navigator_Hash,Screen_Hash,Timezone_Hash,Worker_Hash,WebRTC_Hash,Status_Hash,User_Agent,Platform,System,Resistance,WebGL_Renderer,GPU_Compressed,GPU_Confidence,GPU_Grade,Lie_Keys,Client_Rects_Lied,Screen_Width,Screen_Height,Screen_Resolution,Color_Depth,Touch_Support,Screen_Lied,Device_Memory,Hardware_Concurrency,Language,Max_Touch_Points,Do_Not_Track,Navigator_Lied,Fonts_Count,Fonts_List,Timezone_Zone,Timezone_Location,Timezone_Offset,Prefers_Color_Scheme,Prefers_Reduced_Motion,Device_Screen_CSS,Color_Gamut,Audio_Sample_Sum,Audio_Unique_Samples,Audio_Noise,WebGL_Extensions_Count,WebGL_Lied,Exported_At
Bartek,Windows,Chrome,Czyste_13_04_2026,Bartek_Windows_Chrome_Czyste_13_04_2026.json,614eb31ee37d08b129cd3dd049766090b899bc97ed9b4cdc279ea0c3a96cb861,80,B,1,1,0,0,0,25,Blink,1 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,56f3bb9ed2435f740062265d51de7b36e2b339600f68033d5f31692feefb61b5,3f923c9d6cc34cdf6d9952a6a591064f86600ff39847d4219f7776232ffda902,37d44314e7849d79b34c77ff13bd333be3a4c072a045d8bc17da73811df11d14,187af17029997cfbcaea867d984d9bede468688fd1779d8545744720f4f873f1,523d90999cb8e4186756376bbcba0398ec1da9e21498eb8b27157dbdfaa0b007,e887ed2d4f27d09db52c93a95c54da7a8e37affb5d0e5979336b3656b3ef0daa,471f67d368ac465b154945691992556652cef3000398826112e85b6a15f8fbdb,23f8489428ae7b405c945478874c545cf517d240bf75913540e564b8583c57b9,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) Graphics (0x0000164C)",moderate,C,Element.getClientRects,True,1707,1067,1707x1067,32,False,False,16,12,"en-US, en (en-US)",0,,False,17,"""Cambria Math"", ""DejaVu Sans"", ""Gentium Book Basic"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Liberation Mono"", ""Lucida Console"", ""MS Outlook"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi, OpenSymbol",Central European Summer Time,"Europe, Warsaw",-120,light,no-preference,1707 x 1067,srgb,124.04347527516074,4736,0.0,67,False,2026-04-13T14:37:43.498Z
Bartek,Windows,Chrome,Incognito_13_04_2026,Bartek_Windows_Chrome_Incognito_13_04_2026.json,614eb31ee37d08b129cd3dd049766090b899bc97ed9b4cdc279ea0c3a96cb861,80,B,1,1,0,0,0,25,Blink,1 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,56f3bb9ed2435f740062265d51de7b36e2b339600f68033d5f31692feefb61b5,3f923c9d6cc34cdf6d9952a6a591064f86600ff39847d4219f7776232ffda902,37d44314e7849d79b34c77ff13bd333be3a4c072a045d8bc17da73811df11d14,187af17029997cfbcaea867d984d9bede468688fd1779d8545744720f4f873f1,0dcf064a652097161ec0c94d8e10fceb625adc7dfc5ae98a5c1828bbadd01a64,e887ed2d4f27d09db52c93a95c54da7a8e37affb5d0e5979336b3656b3ef0daa,471f67d368ac465b154945691992556652cef3000398826112e85b6a15f8fbdb,fb01d309deb42b82319a7a8de2a14e363a96fd7f8ddbfef2f7378fb60ded4d26,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) Graphics (0x0000164C)",moderate,C,Element.getClientRects,True,1707,1067,1707x1067,32,False,False,16,12,en-US (en-US),0,,False,17,"""Cambria Math"", ""DejaVu Sans"", ""Gentium Book Basic"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Liberation Mono"", ""Lucida Console"", ""MS Outlook"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi, OpenSymbol",Central European Summer Time,"Europe, Warsaw",-120,light,no-preference,1707 x 1067,srgb,124.04347527516074,4736,0.0,67,False,2026-04-13T14:38:10.288Z
Bartek,Windows,Edge,Balanced_09_04_2026,Bartek_Windows_Edge_Balanced_09_04_2026.json,0608925c4c52775da09c600b7644e0954a4742d35459320290c8f02370f94dbc,85,B,1,0,0,0,0,25,Blink,1 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,56f3bb9ed2435f740062265d51de7b36e2b339600f68033d5f31692feefb61b5,3f923c9d6cc34cdf6d9952a6a591064f86600ff39847d4219f7776232ffda902,37d44314e7849d79b34c77ff13bd333be3a4c072a045d8bc17da73811df11d14,187af17029997cfbcaea867d984d9bede468688fd1779d8545744720f4f873f1,21653b181e26e3b9c72414cbc6b2439e841a752523ae2b678896db09f2c9849a,e887ed2d4f27d09db52c93a95c54da7a8e37affb5d0e5979336b3656b3ef0daa,3968d3fced8017a097784fe14b56e303eefd68adcb352b2497695331bcb3a203,e07c478bcbfbcca556e1be12d3a5c4906c251940a35bcb6a3c1d1bace623259b,Brak,Brak,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) Graphics (0x0000164C)",moderate,C,Element.getClientRects,True,1707,1067,1707x1067,32,False,False,8,12,"pl, en, en-GB, en-US (pl)",0,,False,17,"""Cambria Math"", ""DejaVu Sans"", ""Gentium Book Basic"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Liberation Mono"", ""Lucida Console"", ""MS Outlook"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi, OpenSymbol",czas środkowoeuropejski letni,"Europe, Warsaw",-120,light,no-preference,1707 x 1067,srgb,124.04347527516074,4736,0.0,67,False,2026-04-09T11:29:30.271Z
Bartek,Windows,Edge,Basic_09_04_2026,Bartek_Windows_Edge_Basic_09_04_2026.json,0608925c4c52775da09c600b7644e0954a4742d35459320290c8f02370f94dbc,85,B,1,0,0,0,0,25,Blink,1 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,56f3bb9ed2435f740062265d51de7b36e2b339600f68033d5f31692feefb61b5,3f923c9d6cc34cdf6d9952a6a591064f86600ff39847d4219f7776232ffda902,37d44314e7849d79b34c77ff13bd333be3a4c072a045d8bc17da73811df11d14,187af17029997cfbcaea867d984d9bede468688fd1779d8545744720f4f873f1,21653b181e26e3b9c72414cbc6b2439e841a752523ae2b678896db09f2c9849a,e887ed2d4f27d09db52c93a95c54da7a8e37affb5d0e5979336b3656b3ef0daa,3968d3fced8017a097784fe14b56e303eefd68adcb352b2497695331bcb3a203,e07c478bcbfbcca556e1be12d3a5c4906c251940a35bcb6a3c1d1bace623259b,Brak,Brak,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) Graphics (0x0000164C)",moderate,C,Element.getClientRects,True,1707,1067,1707x1067,32,False,False,8,12,"pl, en, en-GB, en-US (pl)",0,,False,17,"""Cambria Math"", ""DejaVu Sans"", ""Gentium Book Basic"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Liberation Mono"", ""Lucida Console"", ""MS Outlook"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi, OpenSymbol",czas środkowoeuropejski letni,"Europe, Warsaw",-120,light,no-preference,1707 x 1067,srgb,124.04347527516074,4736,0.0,67,False,2026-04-09T11:24:39.643Z
Bartek,Windows,Edge,CanvasBlocker_14_04_2026,Bartek_Windows_Edge_CanvasBlocker_14_04_2026.json,998bdfee503c5136198c38740f100b009d0eab896ce0dd009a5cd879628e0f49,0,F,10,0,0,0,0,25,Blink,10 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,00009875c0e23908cfb473005e8f808a3409cf63e420ab9aedff4adf41c4d3b3,14cce25e8e62d77cd37e523778f256ef1b17ae4f21eb9505b422274e8879b329,37d44314e7849d79b34c77ff13bd333be3a4c072a045d8bc17da73811df11d14,187af17029997cfbcaea867d984d9bede468688fd1779d8545744720f4f873f1,21653b181e26e3b9c72414cbc6b2439e841a752523ae2b678896db09f2c9849a,e887ed2d4f27d09db52c93a95c54da7a8e37affb5d0e5979336b3656b3ef0daa,3968d3fced8017a097784fe14b56e303eefd68adcb352b2497695331bcb3a203,e07c478bcbfbcca556e1be12d3a5c4906c251940a35bcb6a3c1d1bace623259b,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) Graphics (0x0000164C)",moderate,C,"CanvasRenderingContext2D.getImageData, HTMLCanvasElement.getContext, HTMLCanvasElement.toBlob, HTMLCanvasElement.toDataURL, Element.getClientRects",True,1707,1067,1707x1067,32,False,False,8,12,"pl, en, en-GB, en-US (pl)",0,,False,17,"""Cambria Math"", ""DejaVu Sans"", ""Gentium Book Basic"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Liberation Mono"", ""Lucida Console"", ""MS Outlook"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi, OpenSymbol",czas środkowoeuropejski letni,"Europe, Warsaw",-120,light,no-preference,1707 x 1067,srgb,124.04347527516074,4736,0.0,67,1,2026-04-14T09:08:50.112Z
Bartek,Windows,Edge,Incognito_14_04_2026,Bartek_Windows_Edge_Incognito_14_04_2026.json,0608925c4c52775da09c600b7644e0954a4742d35459320290c8f02370f94dbc,85,B,1,0,0,0,0,25,Blink,1 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,56f3bb9ed2435f740062265d51de7b36e2b339600f68033d5f31692feefb61b5,3f923c9d6cc34cdf6d9952a6a591064f86600ff39847d4219f7776232ffda902,37d44314e7849d79b34c77ff13bd333be3a4c072a045d8bc17da73811df11d14,187af17029997cfbcaea867d984d9bede468688fd1779d8545744720f4f873f1,f1e8b84b9c4ff2f0519e69e76246213057821d7ca34bb5ab540b820043bd4393,e887ed2d4f27d09db52c93a95c54da7a8e37affb5d0e5979336b3656b3ef0daa,3968d3fced8017a097784fe14b56e303eefd68adcb352b2497695331bcb3a203,282f405df712695c22ffd6faf57838e4af0100bb67f866854dd7080a3fdd86f8,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) Graphics (0x0000164C)",moderate,C,Element.getClientRects,True,1707,1067,1707x1067,32,False,False,8,12,pl (pl),0,,False,17,"""Cambria Math"", ""DejaVu Sans"", ""Gentium Book Basic"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Liberation Mono"", ""Lucida Console"", ""MS Outlook"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi, OpenSymbol",czas środkowoeuropejski letni,"Europe, Warsaw",-120,light,no-preference,1707 x 1067,srgb,124.04347527516074,4736,0.0,67,False,2026-04-14T09:29:57.658Z
Bartek,Windows,Edge,Strict_09_04_2026,Bartek_Windows_Edge_Strict_09_04_2026.json,0608925c4c52775da09c600b7644e0954a4742d35459320290c8f02370f94dbc,85,B,1,0,0,0,0,25,Blink,1 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,56f3bb9ed2435f740062265d51de7b36e2b339600f68033d5f31692feefb61b5,3f923c9d6cc34cdf6d9952a6a591064f86600ff39847d4219f7776232ffda902,37d44314e7849d79b34c77ff13bd333be3a4c072a045d8bc17da73811df11d14,187af17029997cfbcaea867d984d9bede468688fd1779d8545744720f4f873f1,21653b181e26e3b9c72414cbc6b2439e841a752523ae2b678896db09f2c9849a,e887ed2d4f27d09db52c93a95c54da7a8e37affb5d0e5979336b3656b3ef0daa,3968d3fced8017a097784fe14b56e303eefd68adcb352b2497695331bcb3a203,e07c478bcbfbcca556e1be12d3a5c4906c251940a35bcb6a3c1d1bace623259b,Brak,Brak,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) Graphics (0x0000164C)",moderate,C,Element.getClientRects,True,1707,1067,1707x1067,32,False,False,8,12,"pl, en, en-GB, en-US (pl)",0,,False,17,"""Cambria Math"", ""DejaVu Sans"", ""Gentium Book Basic"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Liberation Mono"", ""Lucida Console"", ""MS Outlook"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi, OpenSymbol",czas środkowoeuropejski letni,"Europe, Warsaw",-120,light,no-preference,1707 x 1067,srgb,124.04347527516074,4736,0.0,67,False,2026-04-09T11:27:10.989Z
Kuba,Windows,Brave,Full_02_05_2026,Kuba_Windows_Brave_Full_02_05_2026.json,447340963c820b42ce0cd9850287703d1f25757f6589c53a4a8423d8e15ca6f8,25,F,5,4,0,0,0,25,Blink,5 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,087533809ee04633a2cccd0d74f7a0a24d009c466e4d1adc790eb1b551076f9c,65d3c788ef5d05b647c77fad566987bd36c61298137c5af63b30c1795ef2a91f,e97681e69df4e6fab988b61f7e225d550b3965392f331dbdc232d082e6bc93cb,0f93bdab3131866990548afd83bb79f2691ab2ea82c3cf47f722dff9f79dac29,acf1db990b0b80cd50c878f6593653b917dd94d2f499cc5dd3e57241405a2a73,c448c84bc2bd5831fca7f2af0227c06515de300636c85b8bb236a86e302ea527,471f67d368ac465b154945691992556652cef3000398826112e85b6a15f8fbdb,0a6545fc5ef5e897fb2eede4e9b4d28bbb08ff641413a97108e381e506d27daa,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) 780M (0x000015BF) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) 780M (0x000015BF)",moderate,C,"Screen, Element.getClientRects, AudioBuffer, CanvasRenderingContext2D.getImageData, Navigator.plugins",True,1366,768,1366x768,32,False,True,4,11,en-US (en-US),0,,True,12,"""Cambria Math"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Lucida Console"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi",Central European Summer Time,"Europe, Warsaw",-120,dark,reduce,Brak,p3,123.42176154860499,4736,994.6465562791346,67,False,2026-05-14T09:44:18.906Z
Kuba,Windows,Brave,Full_03_05_2026,Kuba_Windows_Brave_Full_03_05_2026.json,447340963c820b42ce0cd9850287703d1f25757f6589c53a4a8423d8e15ca6f8,25,F,5,4,0,0,0,25,Blink,5 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,7419c058313f423c58c94b046d4c68c4955a6fe875fa282e73a8ed415ef3948a,65d3c788ef5d05b647c77fad566987bd36c61298137c5af63b30c1795ef2a91f,0b623d5e23e93263367a499ec031b26a956836f8b5793bc472b529fbfffd42a2,0f93bdab3131866990548afd83bb79f2691ab2ea82c3cf47f722dff9f79dac29,acf1db990b0b80cd50c878f6593653b917dd94d2f499cc5dd3e57241405a2a73,c448c84bc2bd5831fca7f2af0227c06515de300636c85b8bb236a86e302ea527,471f67d368ac465b154945691992556652cef3000398826112e85b6a15f8fbdb,0a6545fc5ef5e897fb2eede4e9b4d28bbb08ff641413a97108e381e506d27daa,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) 780M (0x000015BF) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) 780M (0x000015BF)",moderate,C,"Screen, Element.getClientRects, AudioBuffer, CanvasRenderingContext2D.getImageData, Navigator.plugins",True,1366,768,1366x768,32,False,True,4,11,en-US (en-US),0,,True,12,"""Cambria Math"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Lucida Console"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi",Central European Summer Time,"Europe, Warsaw",-120,dark,reduce,Brak,p3,123.42176154860499,4736,1018.2612830143486,67,False,2026-05-14T09:44:42.379Z
Kuba,Windows,Brave,Full_04_05_2026,Kuba_Windows_Brave_Full_04_05_2026.json,447340963c820b42ce0cd9850287703d1f25757f6589c53a4a8423d8e15ca6f8,25,F,5,4,0,0,0,25,Blink,5 lie(s) detected | engine: Blink | headless: 0 | stealth: 0,ff585137ba63a47cfe6b3406823658c987577568eae24c5287e0917886d27ab8,65d3c788ef5d05b647c77fad566987bd36c61298137c5af63b30c1795ef2a91f,ec235135b0a7f37bfe25f36ce90d4f2a26f88c838f5f16ca8c43eb66a44ccac5,0f93bdab3131866990548afd83bb79f2691ab2ea82c3cf47f722dff9f79dac29,acf1db990b0b80cd50c878f6593653b917dd94d2f499cc5dd3e57241405a2a73,c448c84bc2bd5831fca7f2af0227c06515de300636c85b8bb236a86e302ea527,471f67d368ac465b154945691992556652cef3000398826112e85b6a15f8fbdb,0a6545fc5ef5e897fb2eede4e9b4d28bbb08ff641413a97108e381e506d27daa,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Win32,Windows,Blink,"ANGLE (AMD, AMD Radeon(TM) 780M (0x000015BF) Direct3D11 vs_5_0 ps_5_0, D3D11)","AMD, AMD Radeon(TM) 780M (0x000015BF)",moderate,C,"Screen, Element.getClientRects, AudioBuffer, CanvasRenderingContext2D.getImageData, Navigator.plugins",True,1366,768,1366x768,32,False,True,4,11,en-US (en-US),0,,True,12,"""Cambria Math"", ""Ink Free"", ""Javanese Text"", ""Leelawadee UI"", ""Lucida Console"", ""Myanmar Text"", ""Nirmala UI"", ""Segoe Fluent Icons"", ""Segoe MDL2 Assets"", ""Segoe UI Emoji"", Bahnschrift, Gadugi",Central European Summer Time,"Europe, Warsaw",-120,dark,reduce,Brak,p3,123.42176154860499,4736,1005.1792367556657,67,False,2026-05-14T09:44:57.613Z
